league,country
shl,sweden
allsvenskan,sweden
division-1,sweden
division-2,sweden
liiga,finland
nla,switzerland
del,germany
khl,russia
ebel,austria
czech,czech republic
slovakia,slovakia
latvia,latvia
nhl,north america
ahl,north america
echl,north america
sphl,north america
lnah,north america
fphl,north america
ncaa,north america
